标题,小区,区域,商圈,总价(万),单价(元/平),户型,建筑面积(㎡),朝向,装修,楼层,年代,建筑类型,户型结构,梯户比例,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房源标签,关注人数,详情链接
"新静安，环境好，南北两房，电梯房次顶楼","阳景小区","静安","彭浦","178","36416","2室0厅1卫","48.88","南 北","毛坯","高楼层 (共6层)","1989","板楼","平层","一梯四户","2025年06月15日","商品房","2001年02月22日","普通住宅","满五年","非共有","无抵押","满五年 | VR看装修 | 随时看房","19","https://sh.ke.com/ershoufang/107113194801.html"
"新静安中间楼层+电梯安装好了+双南的户型+满五年","阳景小区","静安","彭浦","185","43265","2室0厅1卫","42.76","南","简装","中楼层 (共6层)","1989","板楼","平层","暂无数据","2025年06月27日","商品房","2025年07月16日","普通住宅","未满两年","非共有","无抵押","VR房源","1","https://sh.ke.com/ershoufang/107113321620.html"
"静安区公园小区，二楼带露台，全明采光好，满五","共康三村","静安","彭浦","192","43498","2室0厅1卫","44.14","南","精装","低楼层 (共6层)","1996","板楼","平层","暂无数据","2025年04月20日","商品房","2017年01月01日","普通住宅","满五年","共有","无抵押","满五年 | VR看装修 | 随时看房","56","https://sh.ke.com/ershoufang/107112661097.html"
"共康五村 2室1厅 南","共康五村","宝山","共康","200","36193","2室1厅1卫","55.26","南","简装","中楼层 (共4层)","1992","板楼","平层","暂无数据","2025年07月12日","商品房","2004年12月14日","普通住宅","满五年","非共有","无抵押","满五年 | 新上","2","https://sh.ke.com/ershoufang/107113460195.html"
"静安区 地铁共康站400米，中间好楼层，房型好！！","共和新路4555弄","静安","彭浦","205","40102","2室1厅1卫","51.12","南","简装","中楼层 (共6层)","1991","板楼","平层","暂无数据","2025年05月21日","商品房","1999年04月18日","普通住宅","满五年","非共有","无抵押","满五年 | VR房源 | 随时看房 | 地铁","9","https://sh.ke.com/ershoufang/107112951933.html"
"方正双南户型 近一号线和中环 中间楼层精装修","临汾路1515弄","静安","彭浦","212","39007","2室0厅1卫","54.35","南","精装","中楼层 (共6层)","1996","板塔结合","平层","暂无数据","2025年04月21日","商品房","2000年09月02日","普通住宅","满五年","非共有","无抵押","满五年 | VR看装修","20","https://sh.ke.com/ershoufang/107112678162.html"
"临汾街道+边套全明+中间楼层+业主诚心出售+钥匙房","保德路425弄","静安","彭浦","220","42041","2室1厅1卫","52.33","南","简装","中楼层 (共6层)","1987","板楼","平层","暂无数据","2025年05月15日","商品房","2022年03月07日","普通住宅","满两年","非共有","有抵押 90万元 公积金贷款90万 业主自还","满两年 | VR看装修 | 随时看房","6","https://sh.ke.com/ershoufang/107112897828.html"
"爆款！带院子！有钥匙！全明全亮","保德路425弄","静安","彭浦","220","43895","2室1厅1卫","50.12","南","简装","低楼层 (共6层)","1988","板楼","平层","暂无数据","2025年06月11日","商品房","2023年06月11日","普通住宅","满两年","共有","无抵押","满两年 | VR看装修 | 随时看房","4","https://sh.ke.com/ershoufang/107113154797.html"
"南北户型 通风效果好 带了晾晒露台 有钥匙","闻喜路1223弄","静安","彭浦","228","43347","2室1厅1卫","52.6","南","简装","低楼层 (共6层)","1991","板楼","平层","暂无数据","2025年06月26日","商品房","2020年06月03日","普通住宅","满五年","非共有","无抵押","满五年 | VR看装修 | 随时看房 | 地铁","2","https://sh.ke.com/ershoufang/107113303727.html"
"双南+户型正+中层+好装修+诚意出售+满五","临汾路1565弄","静安","彭浦","236","39852","2室1厅1卫","59.22","南","简装","中楼层 (共6层)","1994","板楼","平层","暂无数据","2025年04月29日","商品房","2022年04月15日","普通住宅","未满两年","非共有","无抵押","VR看装修","34","https://sh.ke.com/ershoufang/107112748216.html"
